domain,intent,text,spans,logical_form,xtreme-up,source_language
banking,balance,How much money is in my bank account?,,[IN:balance ],,lin
banking,balance,How much money is in my bank account?,,[IN:balance ],,lin
banking,balance,How much is MY bank account balance?,,[IN:balance ],,lin
banking,balance,how much money do i have in my bank account?,,[IN:balance ],,lin
banking,balance,Where is MY safe?,,[IN:balance ],,lin
banking,balance,Is there enough money in the orange money for ME to buy a new pair of shoes?,"35:47:SL:PAYMENT_COMPANY,68:74:SL:SHOPPING_ITEM",[IN:balance [SL:PAYMENT_COMPANY orange money] [SL:SHOPPING_ITEM sabatu] ],PAYMENT_COMPANY: orange money $$ SHOPPING_ITEM: sabatu,lin
banking,balance,how much money is enough for my orange money to buy a new pair of shoes?,29:41:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY orange money] ],PAYMENT_COMPANY: orange money,lin
banking,balance,How much money do I have in my bank account?,,[IN:balance ],,lin
banking,balance,is there enough money in the orange money for ME to buy a new pair of shoes?,"24:36:SL:PAYMENT_COMPANY,57:63:SL:SHOPPING_ITEM",[IN:balance [SL:PAYMENT_COMPANY orange money] [SL:SHOPPING_ITEM sabatu] ],PAYMENT_COMPANY: orange money $$ SHOPPING_ITEM: sabatu,lin
banking,balance,"If I want to buy a new pair of shoes, how much would orange money cost?","18:24:SL:SHOPPING_ITEM,63:75:SL:PAYMENT_COMPANY",[IN:balance [SL:SHOPPING_ITEM sabatu] [SL:PAYMENT_COMPANY orange money] ],SHOPPING_ITEM: sabatu $$ PAYMENT_COMPANY: orange money,lin
banking,balance,Can you show me how much money is in my bank account?,,[IN:balance ],,lin
banking,balance,can you tell ME how much money is in MY bank account?,,[IN:balance ],,lin
banking,balance,can you tell ME how much money is in MY bank account?,,[IN:balance ],,lin
banking,balance,See if the money in MY wallet can buy new shoes?,"28:33:SL:PAYMENT_COMPANY,58:64:SL:SHOPPING_ITEM",[IN:balance [SL:PAYMENT_COMPANY Mpesa] [SL:SHOPPING_ITEM sapatu] ],PAYMENT_COMPANY: Mpesa $$ SHOPPING_ITEM: sapatu,lin
banking,balance,Tell ME how much money is in my bank account?,,[IN:balance ],,lin
banking,balance,tell ME how much money is in my bank account now?,53:59:SL:TIME,[IN:balance [SL:TIME sikoyo] ],TIME: sikoyo,lin
banking,balance,How much money is in my current account?,19:33:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE compte courant] ],ACCOUNT_TYPE: compte courant,lin
banking,balance,How much is my current account balance?,9:23:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE compte courant] ],ACCOUNT_TYPE: compte courant,lin
