domain,intent,text,spans,logical_form
banking,balance,Muhomwe dzangu dzekuCabs masara marii,20:24:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Cabs] ]
banking,balance,Zvikwama zvangu zvekuNedbank zvese pamwe chete zvakabata marii ,21:28:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Nedbank] ]
banking,balance,Kusvikira nezuro homwe dzangu dzekuEcobank dzese dzine marii,"10:16:SL:DATE,35:42:SL:BANK_NAME",[IN:balance [SL:DATE nezuro] [SL:BANK_NAME Ecobank] ]
banking,balance,Muchikwama zvangu cheku Women's Bank mava nemarii,24:36:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Women's Bank] ]
banking,balance,Chikwama changu chemubhanga chasara marii? ,,[IN:balance ]
banking,balance,Masara mari yakawanda sei muhomwe yangu yekuAgribank pari zvino? ,44:52:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Agribank] ]
banking,balance,Mune mari muhomwe yangu yekuFBC inokwana kutenga bhandi reganda regarwe here ,"28:31:SL:BANK_NAME,49:71:SL:SHOPPING_ITEM",[IN:balance [SL:BANK_NAME FBC] [SL:SHOPPING_ITEM bhandi reganda regarwe] ]
banking,balance,Ndine mari muhomwe yangu yekuSteward Bank inoringana kutengera mukadzi wangu gogo iyi here ,"29:41:SL:BANK_NAME,77:81:SL:SHOPPING_ITEM",[IN:balance [SL:BANK_NAME Steward Bank] [SL:SHOPPING_ITEM gogo] ]
banking,balance,Ndine mari inokwana kutenga rokwe reGrorgette muhomwe yangu yeAgribank here ,"28:45:SL:SHOPPING_ITEM,62:70:SL:BANK_NAME",[IN:balance [SL:SHOPPING_ITEM rokwe reGrorgette] [SL:BANK_NAME Agribank] ]
banking,balance,"Ndiri kuda kutenga sutu iyi yeLuis Vuitton, tarira muchikwama changu cheRoyal Kingdom kuti chine mari inokwana here","19:42:SL:SHOPPING_ITEM,72:85:SL:PAYMENT_COMPANY",[IN:balance [SL:SHOPPING_ITEM sutu iyi yeLuis Vuitton] [SL:PAYMENT_COMPANY Royal Kingdom] ]
